Area,CancerType,Year,AgeAdjustedRate,DeathCount,Population
United States,Lung and Bronchus,1999,55.4,152061,279040168
United States,Lung and Bronchus,2000,55.8,155426,282162411
United States,Lung and Bronchus,2001,55.3,155969,284968955
United States,Lung and Bronchus,2002,55,157630,287625193
United States,Lung and Bronchus,2003,54.2,157990,290107933
United States,Lung and Bronchus,2004,53.4,158006,292805298
United States,Lung and Bronchus,2005,52.9,159217,295516599
United States,Lung and Bronchus,2006,51.7,158599,298379912
United States,Lung and Bronchus,2007,50.7,158683,301231207
United States,Lung and Bronchus,2008,49.6,158592,304093966
United States,Lung and Bronchus,2009,48.4,158081,306771529
United States,Lung and Bronchus,2010,47.4,158248,309348193
United States,Lung and Bronchus,2011,46,156953,311663358
United States,Lung and Bronchus,2012,44.9,157423,313998379
United States,Lung and Bronchus,2013,43.4,156176,316204908
United States,Lung and Bronchus,2014,42.2,155526,318563456
United States,Lung and Bronchus,2015,40.6,153718,320896618
