Year,Area,CancerType,AgeAdjustedRate,lci,uci,DeathCount,Population
1999,Utah,Lung and Bronchus,26.5,24,29.2,402,2203482
1999,Hawaii,Lung and Bronchus,36.7,33.4,40.2,454,1210300
1999,New Mexico,Lung and Bronchus,37.9,35,41,627,1808082
1999,Idaho,Lung and Bronchus,43.1,39.4,47.1,497,1275674
1999,Colorado,Lung and Bronchus,40.5,38.4,42.7,1368,4226018
1999,North Dakota,Lung and Bronchus,41.5,36.8,46.5,298,644259
1999,South Dakota,Lung and Bronchus,49.6,44.8,54.7,404,750412
1999,Wisconsin,Lung and Bronchus,48.6,46.8,50.5,2649,5332666
1999,Arizona,Lung and Bronchus,49.4,47.5,51.4,2513,5023823
1999,Wyoming,Lung and Bronchus,52.1,45.7,59.1,240,491780
1999,Iowa,Lung and Bronchus,50.6,48.2,53.1,1675,2917634
1999,Connecticut,Lung and Bronchus,48.8,46.6,51.2,1788,3386401
1999,Minnesota,Lung and Bronchus,47.3,45.3,49.3,2205,4873481
1999,New Jersey,Lung and Bronchus,52.9,51.4,54.4,4603,8359592
1999,New York,Lung and Bronchus,49.9,48.9,50.9,9550,18882725
1999,Nebraska,Lung and Bronchus,51.2,48,54.7,909,1704764
1999,California,Lung and Bronchus,48.1,47.3,49,13740,33499204
1999,Rhode Island,Lung and Bronchus,60,55.6,64.6,698,1040402
1999,Pennsylvania,Lung and Bronchus,54.5,53.3,55.7,7918,12263805
1999,Oregon,Lung and Bronchus,54.5,52.1,57.1,1887,3393941
1999,Oklahoma,Lung and Bronchus,62.5,59.9,65.2,2221,3437147
1999,Ohio,Lung and Bronchus,60.8,59.4,62.3,7172,11335454
1999,West Virginia,Lung and Bronchus,73.1,69.5,76.8,1569,1811799
1999,Washington,Lung and Bronchus,57.4,55.4,59.5,3055,5842564
1999,Vermont,Lung and Bronchus,55,49.3,61.2,338,604683
1999,Virginia,Lung and Bronchus,58.8,56.9,60.7,3777,7000174
1999,Tennessee,Lung and Bronchus,67.2,65,69.3,3790,5638706
1999,Texas,Lung and Bronchus,55.2,54.1,56.4,9186,20558220
1999,South Carolina,Lung and Bronchus,60.1,57.7,62.6,2337,3974682
1999,Alabama,Lung and Bronchus,62.5,60.2,64.8,2852,4430141
1999,Alaska,Lung and Bronchus,54.8,46.5,64.1,179,624779
1999,Arkansas,Lung and Bronchus,67.7,64.7,70.8,1952,2651860
1999,Florida,Lung and Bronchus,56.3,55.2,57.3,11483,15759421
1999,Georgia,Lung and Bronchus,60.1,58.2,62,3935,8045965
1999,Illinois,Lung and Bronchus,56.6,55.3,58,6713,12359020
1999,Indiana,Lung and Bronchus,65.5,63.5,67.6,3897,6044969
1999,Kansas,Lung and Bronchus,53.8,51.1,56.7,1470,2678338
1999,Kentucky,Lung and Bronchus,73.9,71.3,76.6,2969,4018053
1999,Louisiana,Lung and Bronchus,65.4,63,68,2690,4460811
1999,Maine,Lung and Bronchus,58,54.1,62.1,822,1266808
1999,Delaware,Lung and Bronchus,68.2,62.5,74.2,539,774990
1999,District of Columbia,Lung and Bronchus,54,48.1,60.5,299,570213
1999,Massachusetts,Lung and Bronchus,54,52.2,55.8,3593,6317345
1999,Michigan,Lung and Bronchus,56.3,54.8,57.8,5438,9897116
1999,Mississippi,Lung and Bronchus,70.5,67.4,73.7,1906,2828408
1999,Missouri,Lung and Bronchus,61.9,59.9,63.9,3620,5561948
1999,Montana,Lung and Bronchus,53.4,48.9,58.3,507,897507
1999,Maryland,Lung and Bronchus,58.7,56.5,60.9,2847,5254509
1999,Nevada,Lung and Bronchus,64.3,60.6,68.3,1131,1934718
1999,New Hampshire,Lung and Bronchus,56.3,52.1,60.7,665,1222014
1999,North Carolina,Lung and Bronchus,60.6,58.9,62.4,4684,7949361
2000,Utah,Lung and Bronchus,26.3,23.8,28.9,407,2244502
2000,Hawaii,Lung and Bronchus,35.5,32.3,39,448,1213519
2000,New Mexico,Lung and Bronchus,38.9,36,42,660,1821204
2000,Colorado,Lung and Bronchus,41.2,39.1,43.4,1432,4326921
2000,Idaho,Lung and Bronchus,45.1,41.3,49.1,533,1299430
2000,North Dakota,Lung and Bronchus,44.1,39.3,49.3,315,642023
2000,Connecticut,Lung and Bronchus,50.5,48.3,52.9,1867,3411777
2000,South Carolina,Lung and Bronchus,61.1,58.7,63.6,2419,4024223
2000,South Dakota,Lung and Bronchus,46.9,42.4,51.9,389,755844
2000,Tennessee,Lung and Bronchus,68.8,66.7,71,3939,5703719
2000,Texas,Lung and Bronchus,55.7,54.6,56.9,9470,20944499
2000,California,Lung and Bronchus,47.1,46.3,47.9,13690,33987977
2000,Arkansas,Lung and Bronchus,68.2,65.2,71.2,1988,2678588
2000,Vermont,Lung and Bronchus,53.4,47.8,59.4,334,609618
2000,Virginia,Lung and Bronchus,58.9,57.1,60.8,3853,7105817
2000,West Virginia,Lung and Bronchus,73.4,69.8,77.1,1582,1807021
2000,Washington,Lung and Bronchus,57.5,55.5,59.6,3113,5910512
2000,Wisconsin,Lung and Bronchus,48.2,46.4,50.1,2660,5373999
2000,Wyoming,Lung and Bronchus,49.2,43.1,56,232,494300
2000,Mississippi,Lung and Bronchus,70.6,67.4,73.8,1930,2848353
2000,Delaware,Lung and Bronchus,59.2,54,64.8,478,786373
2000,District of Columbia,Lung and Bronchus,57.2,51.1,63.9,319,572046
2000,Missouri,Lung and Bronchus,63.3,61.3,65.3,3739,5607285
2000,Montana,Lung and Bronchus,50.3,46,55,485,903773
2000,Florida,Lung and Bronchus,56.5,55.5,57.6,11742,16047515
2000,Nebraska,Lung and Bronchus,47.9,44.8,51.3,861,1713820
2000,Georgia,Lung and Bronchus,62.4,60.5,64.3,4166,8227303
2000,Nevada,Lung and Bronchus,64.8,61.1,68.7,1184,2018741
2000,New Hampshire,Lung and Bronchus,54.7,50.6,59.1,659,1239882
2000,New Jersey,Lung and Bronchus,53.2,51.7,54.7,4682,8430621
2000,Illinois,Lung and Bronchus,57.2,55.9,58.6,6828,12434161
2000,Indiana,Lung and Bronchus,65.5,63.5,67.6,3936,6091866
2000,New York,Lung and Bronchus,49.3,48.3,50.3,9564,19001780
2000,North Carolina,Lung and Bronchus,62.1,60.3,63.8,4874,8081614
2000,Iowa,Lung and Bronchus,52.2,49.8,54.8,1733,2929067
2000,Kansas,Lung and Bronchus,52.7,50,55.5,1458,2693681
2000,Kentucky,Lung and Bronchus,79.8,77.1,82.6,3255,4049021
2000,Ohio,Lung and Bronchus,61.1,59.7,62.5,7258,11363543
2000,Louisiana,Lung and Bronchus,67.5,65.1,70.1,2815,4471885
2000,Maine,Lung and Bronchus,62.2,58.2,66.5,896,1277072
2000,Oklahoma,Lung and Bronchus,64.7,62.1,67.4,2321,3454365
2000,Maryland,Lung and Bronchus,59.2,57.1,61.4,2925,5311034
2000,Oregon,Lung and Bronchus,58.6,56.1,61.2,2055,3429708
2000,Massachusetts,Lung and Bronchus,55.9,54.1,57.7,3762,6361104
2000,Michigan,Lung and Bronchus,56.8,55.3,58.3,5548,9952450
2000,Pennsylvania,Lung and Bronchus,55.1,53.9,56.4,8057,12284173
2000,Rhode Island,Lung and Bronchus,58.4,54,62.9,681,1050268
2000,Minnesota,Lung and Bronchus,46.4,44.5,48.4,2197,4933692
2000,Arizona,Lung and Bronchus,48.2,46.3,50.1,2520,5160586
2000,Alabama,Lung and Bronchus,64.2,61.9,66.6,2964,4452173
2000,Alaska,Lung and Bronchus,59.4,51,68.7,203,627963
2001,Utah,Lung and Bronchus,23.4,21.1,25.9,371,2283715
2001,Hawaii,Lung and Bronchus,36.8,33.5,40.2,475,1225948
2001,New Mexico,Lung and Bronchus,37.7,34.8,40.7,657,1831690
2001,Colorado,Lung and Bronchus,42,39.9,44.2,1483,4425687
2001,Idaho,Lung and Bronchus,44.6,40.9,48.5,537,1319962
2001,Nebraska,Lung and Bronchus,52.7,49.4,56.2,945,1719836
2001,Wisconsin,Lung and Bronchus,49.2,47.4,51.1,2743,5406835
2001,Wyoming,Lung and Bronchus,48.8,42.7,55.5,232,494657
2001,South Dakota,Lung and Bronchus,49.8,45.1,54.9,411,757972
2001,Arizona,Lung and Bronchus,45.7,43.9,47.5,2440,5273477
2001,California,Lung and Bronchus,47.2,46.4,48,13992,34479458
2001,Connecticut,Lung and Bronchus,49.3,47.1,51.7,1846,3432835
2001,Iowa,Lung and Bronchus,51.4,49,53.9,1712,2931997
2001,Minnesota,Lung and Bronchus,47.4,45.5,49.4,2270,4982796
2001,New Hampshire,Lung and Bronchus,53.1,49.1,57.4,648,1255517
2001,New Jersey,Lung and Bronchus,52.9,51.4,54.4,4698,8492671
2001,New York,Lung and Bronchus,48.6,47.6,49.5,9517,19082838
2001,North Dakota,Lung and Bronchus,49,44,54.5,348,639062
2001,Alabama,Lung and Bronchus,62.6,60.3,64.9,2912,4467634
2001,Nevada,Lung and Bronchus,63.1,59.5,66.9,1200,2098399
2001,Tennessee,Lung and Bronchus,68.9,66.8,71.1,3988,5750789
2001,Texas,Lung and Bronchus,54.3,53.2,55.4,9395,21319622
2001,Vermont,Lung and Bronchus,54.2,48.6,60.2,345,612223
2001,Virginia,Lung and Bronchus,56.4,54.6,58.3,3764,7198362
2001,Washington,Lung and Bronchus,55.5,53.5,57.5,3049,5985722
2001,West Virginia,Lung and Bronchus,71.8,68.3,75.5,1555,1801481
2001,Alaska,Lung and Bronchus,55.4,47.4,64.2,197,633714
2001,Arkansas,Lung and Bronchus,68.2,65.2,71.2,2003,2691571
2001,Delaware,Lung and Bronchus,63.8,58.5,69.6,521,795699
2001,District of Columbia,Lung and Bronchus,56.5,50.4,63.1,314,574504
2001,Florida,Lung and Bronchus,55.8,54.8,56.9,11793,16356966
2001,Georgia,Lung and Bronchus,61.5,59.6,63.4,4191,8377038
2001,Illinois,Lung and Bronchus,56.5,55.2,57.9,6793,12488445
2001,Indiana,Lung and Bronchus,65,63,67.1,3935,6127760
2001,Kansas,Lung and Bronchus,56.2,53.5,59.1,1555,2702162
2001,Kentucky,Lung and Bronchus,81.3,78.5,84.1,3340,4068132
2001,Louisiana,Lung and Bronchus,68.7,66.2,71.3,2890,4477875
2001,Maine,Lung and Bronchus,58.8,54.9,62.9,860,1285692
2001,Maryland,Lung and Bronchus,57.5,55.4,59.6,2889,5374691
2001,Massachusetts,Lung and Bronchus,54.6,52.8,56.4,3693,6397634
2001,Michigan,Lung and Bronchus,57.2,55.7,58.7,5642,9991120
2001,Mississippi,Lung and Bronchus,69,65.9,72.2,1904,2852994
2001,Missouri,Lung and Bronchus,63,61,65,3755,5641142
2001,Montana,Lung and Bronchus,59.1,54.4,64.2,577,906961
2001,North Carolina,Lung and Bronchus,61.3,59.6,63,4901,8210122
2001,South Carolina,Lung and Bronchus,62.8,60.4,65.3,2540,4064995
2001,Ohio,Lung and Bronchus,60.1,58.7,61.5,7186,11387404
2001,Oklahoma,Lung and Bronchus,64.2,61.6,66.9,2317,3467100
2001,Oregon,Lung and Bronchus,54.9,52.5,57.4,1955,3467937
2001,Pennsylvania,Lung and Bronchus,54.9,53.7,56.1,8037,12298970
2001,Rhode Island,Lung and Bronchus,55.6,51.4,60.1,648,1057142
2002,Utah,Lung and Bronchus,24.6,22.2,27.1,400,2324815
2002,Hawaii,Lung and Bronchus,31.9,28.9,35.1,424,1239613
2002,New Mexico,Lung and Bronchus,39.4,36.5,42.4,699,1855309
2002,Colorado,Lung and Bronchus,42.8,40.7,45,1548,4490406
2002,Idaho,Lung and Bronchus,43.2,39.6,47,531,1340372
2002,North Dakota,Lung and Bronchus,42.4,37.7,47.5,304,638168
2002,Alaska,Lung and Bronchus,51.4,43.9,59.6,198,642337
2002,Arizona,Lung and Bronchus,47.7,45.9,49.6,2620,5396255
2002,California,Lung and Bronchus,45.6,44.9,46.4,13789,34871843
2002,Connecticut,Lung and Bronchus,48.5,46.3,50.8,1847,3458749
2002,South Dakota,Lung and Bronchus,47.7,43.1,52.6,399,760020
2002,Iowa,Lung and Bronchus,51.4,49,53.9,1732,2934234
2002,Kansas,Lung and Bronchus,53.1,50.4,55.9,1479,2713535
2002,Vermont,Lung and Bronchus,49.1,43.9,54.9,318,615442
2002,Wisconsin,Lung and Bronchus,49.6,47.8,51.5,2803,5445162
2002,Minnesota,Lung and Bronchus,47.7,45.8,49.7,2326,5018935
2002,Wyoming,Lung and Bronchus,49.6,43.6,56.3,242,500017
2002,Nebraska,Lung and Bronchus,49,45.8,52.4,889,1728292
2002,New York,Lung and Bronchus,48.5,47.5,49.5,9615,19137800
2002,New Jersey,Lung and Bronchus,50.7,49.3,52.2,4558,8552643
2002,Alabama,Lung and Bronchus,63.5,61.3,65.9,2989,4480089
2002,Arkansas,Lung and Bronchus,71.5,68.5,74.7,2131,2705927
2002,Delaware,Lung and Bronchus,56.2,51.2,61.5,473,806169
2002,District of Columbia,Lung and Bronchus,58.3,52.1,65,326,573158
2002,Georgia,Lung and Bronchus,59.9,58,61.7,4186,8508256
2002,Rhode Island,Lung and Bronchus,58.7,54.4,63.3,695,1065995
2002,South Carolina,Lung and Bronchus,60.3,57.9,62.7,2483,4107795
2002,Illinois,Lung and Bronchus,56.5,55.2,57.9,6847,12525556
2002,Indiana,Lung and Bronchus,64.8,62.8,66.8,3968,6155967
2002,Tennessee,Lung and Bronchus,69.4,67.3,71.6,4080,5795918
2002,Texas,Lung and Bronchus,55.4,54.3,56.5,9797,21690325
2002,Kentucky,Lung and Bronchus,80.4,77.7,83.1,3347,4089875
2002,Louisiana,Lung and Bronchus,66.4,64,68.9,2837,4497267
2002,Virginia,Lung and Bronchus,57.5,55.7,59.3,3920,7286873
2002,Maine,Lung and Bronchus,63.5,59.5,67.6,948,1295960
2002,Maryland,Lung and Bronchus,57.7,55.6,59.8,2967,5440389
2002,Washington,Lung and Bronchus,54.6,52.7,56.6,3084,6052349
2002,Massachusetts,Lung and Bronchus,55.2,53.4,57,3762,6417206
2002,Michigan,Lung and Bronchus,57.2,55.7,58.7,5713,10015710
2002,West Virginia,Lung and Bronchus,69.4,66,73,1522,1805414
2002,Mississippi,Lung and Bronchus,68,65,71.1,1900,2858681
2002,Missouri,Lung and Bronchus,62.9,60.9,65,3792,5674825
2002,Montana,Lung and Bronchus,53.2,48.8,58,531,911667
2002,Nevada,Lung and Bronchus,57.3,54,60.8,1154,2173791
2002,Pennsylvania,Lung and Bronchus,54.7,53.6,56,8096,12331031
2002,Oklahoma,Lung and Bronchus,65.6,63,68.3,2397,3489080
2002,Oregon,Lung and Bronchus,56.5,54.1,59,2057,3513424
2002,Ohio,Lung and Bronchus,62,60.6,63.4,7490,11407889
2002,North Carolina,Lung and Bronchus,59.4,57.7,61.1,4868,8326201
2002,New Hampshire,Lung and Bronchus,56.4,52.3,60.7,702,1269089
2002,Florida,Lung and Bronchus,54.9,53.9,55.9,11847,16689370
2003,Utah,Lung and Bronchus,24.7,22.3,27.2,412,2360137
2003,Hawaii,Lung and Bronchus,37.4,34.2,40.8,508,1251154
2003,New Mexico,Lung and Bronchus,39.6,36.8,42.6,725,1877574
2003,California,Lung and Bronchus,44.2,43.5,45,13640,35253159
2003,Colorado,Lung and Bronchus,41.7,39.6,43.8,1545,4528732
2003,North Dakota,Lung and Bronchus,43.5,38.8,48.6,316,638817
2003,South Dakota,Lung and Bronchus,47.7,43.2,52.7,405,763729
2003,Vermont,Lung and Bronchus,48.8,43.6,54.5,320,617858
2003,Wisconsin,Lung and Bronchus,47.3,45.6,49.1,2725,5479203
2003,Wyoming,Lung and Bronchus,49.2,43.2,55.8,245,503453
2003,Arizona,Lung and Bronchus,48.2,46.4,50,2719,5510364
2003,Connecticut,Lung and Bronchus,49.1,46.9,51.4,1889,3484336
2003,District of Columbia,Lung and Bronchus,50.9,45.2,57.3,284,568502
2003,Iowa,Lung and Bronchus,52.2,49.7,54.7,1765,2941999
2003,Idaho,Lung and Bronchus,46.5,42.8,50.4,590,1363380
2003,Minnesota,Lung and Bronchus,46.1,44.2,48,2283,5053572
2003,Montana,Lung and Bronchus,52.7,48.3,57.4,535,919630
2003,Nebraska,Lung and Bronchus,47.9,44.8,51.2,877,1738643
2003,New Hampshire,Lung and Bronchus,53.1,49.2,57.3,679,1279840
2003,New Jersey,Lung and Bronchus,51.2,49.7,52.7,4648,8601402
2003,New York,Lung and Bronchus,47.2,46.2,48.1,9453,19175939
2003,South Carolina,Lung and Bronchus,62,59.7,64.5,2625,4150297
2003,Tennessee,Lung and Bronchus,67.4,65.4,69.5,4045,5847812
